 452;01 14.9;+30 54;14.0;2
 453;01 14.9;+32 55;    ;
 454;01 13.3;-55 32;    ;
 455;01 14.7;+05 03;14.0;2
 456;01 13.3;-73 24;    ;
 457;01 17.5;+58 12; 8.0;5
 458;01 14.1;-71 40;10.5;4
 459;01 16.7;+17 25;15.5;2
 460;01 14.1;-72 26;    ;
 461;01 15.1;-34 05;    ;
 462;01 16.8;+04 06;    ;
 463;01 17.6;+16 11;15.0;2
 464;01 17.6;+34 50;    ;
 465;01 15.1;-73 27;    ;
 466;01 16.2;-59 03;    ;
 467;01 17.9;+03 10;13.5;2
 468;01 18.4;+32 39;15.0;2
 469;01 18.1;+14 45;15.0;2
 470;01 18.5;+03 17;12.5;1
 471;01 18.6;+14 39;14.0;2
 472;01 19.1;+32 35;14.0;2
 473;01 18.5;+16 25;13.5;1
 474;01 18.8;+03 17;12.0;1
 475;01 18.7;+14 43;    ;
 476;01 18.9;+15 53;15.0;2
 477;01 19.9;+40 21;14.0;2
 478;01 19.0;-22 30;15.0;3
 479;01 20.0;+03 44;15.0;2
 480;01 19.7;-10 00;    ;
 481;01 19.8;-09 20;14.0;3
 482;01 19.2;-41 05;    ;
 483;01 20.6;+33 24;14.0;2
 484;01 18.6;-58 40;    ;
 485;01 20.1;+06 53;14.0;2
 486;01 20.8;+05 16;15.5;3
 487;01 20.6;-16 29;14.0;3
 488;01 20.5;+05 08;11.5;1
 489;01 20.5;+09 04;13.5;2
 490;01 20.8;+05 14;15.5;2
 491;01 20.2;-34 11;13.0;1
 491;01 18.7;-34 00;    ;
 492;01 20.9;+05 17;15.5;2
 493;01 20.9;+00 49;13.0;2
 494;01 21.6;+33 03;14.0;2
 495;01 21.5;+33 21;14.0;2
 496;01 21.9;+33 25;14.5;2
 497;01 21.1;-01 00;14.0;2
 498;01 21.9;+33 22;16.0;3
 499;01 21.8;+33 20;13.0;2
 500;01 21.4;+05 16;15.0;2
 501;01 22.0;+33 19;15.0;2
 502;01 21.5;+08 55;14.0;2
 503;01 22.1;+33 13;15.0;2
 504;01 22.1;+33 05;14.0;2
 505;01 21.6;+09 20;15.0;2
 506;01 22.2;+33 06;    ;
 507;01 22.2;+33 08;13.0;2
 508;01 22.2;+33 10;14.5;2
 509;01 22.1;+09 18;14.5;2
 510;01 22.3;+33 18;    ;
 511;01 22.2;+11 09;15.5;2
 512;01 22.6;+33 47;14.0;2
 513;01 22.4;+33 41;13.5;2
 514;01 22.7;+12 48;12.5;1
 515;01 23.2;+33 21;14.5;2
 516;01 22.8;+09 25;14.5;2
 517;01 23.3;+33 19;13.5;2
 518;01 23.0;+09 12;14.5;2
 519;01 23.2;-01 46;15.5;2
 520;01 23.3;+03 40;12.5;2
 521;01 23.3;+01 36;12.5;1
 522;01 23.4;+09 52;14.0;2
 523;01 23.9;+33 54;13.5;2
 524;01 23.5;+09 25;12.0;1
 525;01 23.5;+09 34;14.5;2
 526;01 22.8;-35 11;    ;
 527;01 22.9;-35 14;    ;
 528;01 24.1;+33 33;13.5;2
 529;01 24.3;+34 36;13.0;2
 530;01 23.4;-01 42;14.0;2
 531;01 24.9;+34 37;15.0;2
 532;01 24.0;+09 08;13.5;2
 533;01 24.3;+01 38;13.0;1
 534;01 23.5;-38 15;    ;
 535;01 24.3;-01 31;15.0;2
 536;01 25.0;+34 35;13.0;2
 537;01 24.9;+33 57;    ;
 538;01 24.2;-01 40;14.5;2
 539;01 24.1;-18 17;14.0;3
 540;01 23.4;-20 02;    ;
 541;01 24.5;-01 29;14.0;2
 542;01 25.1;+34 33;15.5;2
 543;01 24.6;-01 24;15.0;2
 544;01 24.0;-38 13;    ;
 545;01 24.7;-01 28;13.5;2
 546;01 24.0;-38 11;    ;
 547;01 24.8;-01 28;13.5;2
 547;01 24.7;-01 28;    ;
 548;01 24.8;-01 21;15.0;2
 549;01 23.9;-38 07;    ;
 550;01 25.4;+01 54;13.5;2
 551;01 26.2;+37 03;13.5;2
 552;01 26.4;+33 20;    ;
 553;01 26.4;+33 20;    ;
 554;01 26.0;-22 51;15.0;3
 555;01 26.0;-22 53;15.0;3
 556;01 25.8;-22 55;    ;
 557;01 25.2;-01 46;15.0;2
 558;01 26.0;-02 06;15.0;2
 559;01 27.8;+63 11; 7.5;5
 560;01 26.2;-02 03;14.0;2
 561;01 26.8;+34 11;14.0;2
 562;01 26.9;+48 15;14.5;2
 563;01 25.9;-18 46;14.0;3
 564;01 26.5;-02 01;14.0;2
 565;01 26.9;-01 25;14.5;2
 566;01 27.6;+32 13;14.5;2
 567;01 25.7;-10 23;14.0;3
 568;01 26.8;-35 51;    ;
 569;01 27.8;+11 01;14.5;2
 570;01 27.7;-01 04;14.0;2
 571;01 28.5;+32 23;15.0;2
 572;01 27.5;-39 26;    ;
 573;01 29.4;+41 08;13.5;2
 574;01 27.9;-35 43;    ;
 575;01 29.4;+21 18;14.0;2
 576;01 27.9;-51 43;    ;
 577;01 29.4;-02 07;14.0;2
 578;01 29.2;-22 48;11.5;1
 579;01 30.3;+33 30;13.5;2
 580;01 29.8;-02 07;    ;
 581;01 31.6;+60 35; 7.0;5
 582;01 30.5;+33 22;13.5;2
 583;01 28.5;-18 27;15.0;3
 584;01 30.0;-06 59;12.0;1
 585;01 30.4;-01 03;14.0;2
 586;01 30.3;-07 01;14.0;3
 587;01 31.1;+35 14;13.5;2
 588;01 31.3;+30 32;    ;
 589;01 31.4;-12 10;14.0;3
 590;01 32.1;+44 48;14.0;2
 591;01 32.1;+35 33;14.0;2
 592;01 31.8;+30 31;    ;
 593;01 31.1;-12 29;14.0;3
 594;01 31.8;-16 40;14.0;3
 595;01 32.1;+30 34;    ;
 596;01 31.5;-07 09;12.5;1
 597;01 31.1;-33 37;    ;
 598;01 32.5;+30 32; 7.0;1
 599;01 31.6;-12 19;13.0;3
 600;01 32.0;-07 27;12.5;3
 601;01 32.1;-12 20;    ;
 602;01 29.0;-73 41;    ;
 603;01 32.9;+30 04;    ;
 604;01 33.1;+30 40;    ;
 605;01 33.6;+41 08;14.5;2
 606;01 33.5;+21 18;14.5;2
 607;01 33.1;-07 33;    ;
 608;01 34.0;+33 33;14.0;2
 609;01 35.5;+64 25;12.5;5
 610;01 33.1;-20 17;    ;
 611;01 33.1;-20 16;    ;
 612;01 32.8;-36 37;    ;
 613;01 33.1;-29 32;11.0;1
 614;01 34.4;+33 34;14.0;2
 615;01 33.8;-07 27;12.5;1
 616;01 34.6;+33 38;    ;
 617;01 32.7;-09 55;15.0;3
 618;01 34.8;+33 16;    ;
 619;01 33.7;-36 36;    ;
 620;01 35.5;+42 12;14.0;2
 621;01 35.3;+35 24;14.0;2
 622;01 34.7;+00 33;14.0;2
 623;01 33.9;-36 37;    ;
 624;01 34.5;-10 08;14.0;3
 625;01 34.0;-41 33;12.5;1
 626;01 34.1;-39 16;    ;
 627;01 35.6;+33 27;    ;
 628;01 35.3;+15 40;10.5;1
 629;01 38.3;+72 45;    ;
 630;01 34.5;-39 29;    ;
 631;01 35.5;+05 43;15.0;2
 632;01 36.0;+05 45;13.5;2
 633;01 35.3;-37 26;    ;
 634;01 36.8;+35 15;14.0;2
 635;01 37.1;-20 04;    ;
 636;01 37.8;-07 37;12.5;1
 637;01 41.3;+63 53; 7.5;5
 638;01 38.3;+07 06;14.5;2
 639;01 37.8;-30 03;15.0;3
 640;01 38.1;-09 31;15.0;3
 641;01 37.6;-42 39;    ;
 642;01 37.9;-30 02;14.0;3
 643;01 34.7;-75 41;13.5;4
 643;01 30.4;-76 11;    ;
 643;01 38.8;-75 09;    ;
 643;01 41.5;-75 23;    ;
 644;01 37.8;-42 43;    ;
 645;01 38.9;+05 36;14.0;2
 646;01 36.6;-65 02;    ;
 647;01 38.6;-09 21;14.0;3
 648;01 37.5;-17 58;14.0;3
 649;01 38.8;-09 22;15.0;3
 650;01 40.4;+51 27;12.0;7
 651;01 40.4;+51 27;12.0;7
 652;01 39.4;+07 51;14.5;2
 653;01 40.9;+35 31;14.0;2
 654;01 42.2;+61 46;10.0;5
 655;01 40.8;-13 12;14.0;3
 656;01 41.0;+26 01;13.5;2
 657;01 42.1;+55 45;    ;
 658;01 40.7;+12 28;13.5;2
 659;01 42.5;+60 35;10.0;5
 660;01 41.6;+13 31;13.0;2
 661;01 42.8;+28 35;13.0;2
 662;01 43.1;+37 34;13.5;2
 663;01 44.3;+61 07; 7.5;5
 664;01 42.5;+04 07;14.0;2
 665;01 43.5;+10 18;13.5;2
 666;01 44.6;+34 16;13.5;2
 667;01 43.9;-23 03;    ;
 668;01 44.9;+36 20;13.5;2
 669;01 45.8;+35 25;14.0;2
 670;01 46.0;+27 45;13.0;1
 671;01 45.6;+12 59;14.5;2
 672;01 46.5;+27 18;11.5;1
 673;01 46.9;+11 24;13.5;2
 674;01 47.8;+22 13;    ;
 675;01 47.7;+12 55;15.5;2
 676;01 47.6;+05 47;10.5;2
 677;01 47.8;+12 55;14.5;2
 678;01 48.0;+21 52;13.5;2
 679;01 48.3;+35 39;13.0;2
 680;01 48.4;+21 50;13.0;2
 681;01 47.9;-10 33;13.0;1
 682;01 47.8;-15 06;13.0;3
 683;01 48.3;+11 34;15.0;2
 684;01 48.8;+27 31;13.0;2
 685;01 46.8;-52 54;12.0;1
 686;01 47.8;-23 55;13.0;3
 687;01 49.1;+36 14;13.5;2
 688;01 49.3;+35 09;13.5;2
 689;01 48.8;-27 35;15.0;3
 690;01 46.6;-16 50;14.0;3
 691;01 49.3;+21 38;13.5;2
 692;01 47.8;-48 46;    ;
 693;01 49.2;+06 01;13.5;2
 694;01 49.6;+21 52;14.0;2
 695;01 49.9;+22 27;13.5;2
 696;01 48.3;-35 02;    ;
 697;01 49.9;+22 14;12.5;2
 698;01 48.5;-34 57;    ;
 699;01 49.4;-12 10;14.0;3
